STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37229570	0	ATPA	SHARE	XRS1	2018-09-05 17:53:19.584	1	1.200.000	300	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:53:19.584	UK8GW3	192.168.252.2		135395	0	0	3	1027170	300	0	0	0.000000	0.000000	0				0	228613474	0	N	3	N	N
1	37229489	0	ATPA	SHARE	XRS1	2018-09-05 17:39:01.158	1	1.100.000	45	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 17:39:01.158	UK8GW3	192.168.252.2		135392	0	0	3	1012931	45	0	0	0.000000	0.000000	0				0	228594375	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-05 12:26:34.863	2	9.500.000	6140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-05 12:26:34.863	UK8GW3	192.168.252.2		135247	0	0	3	1027170	6140	0	0	0.000000	0.000000	0				0	228340203	0	N	3	N	N
1	37224133	0	BALO	SHARE-ATS	XRS1	2018-09-05 09:33:40.625	2	9.500.000	140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-05 09:33:40.625	UK8GW3	192.168.252.2		135121	0	0	3	1027170	140	0	0	0.000000	0.000000	0				0	228230537	0	N	3	N	N
0	37224133	0	BALO	SHARE-ATS	XRS1	2018-09-05 09:33:40.625	2	9.500.000	140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-05 09:44:42.844	UK8GW3	192.168.252.2		135133	0	0	3	1027170	140	0	0	0.000000	0.000000	4				0	228230817	0	N	3	N	N
1	37224133	0	BALO	SHARE-ATS	XRS1	2018-09-05 09:30:03.52	2	8.500.000	140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 09:30:03.52	UK8GW3	192.168.252.2		135119	0	0	3	1027170	140	0	0	0.000000	0.000000	0				0	228229871	0	N	3	N	N
1	37228685	0	BKDOWTS53	STR-PRD	RGSP	2018-09-05 14:40:10.835	2	3.800.000	500	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 14:40:10.835	UK8GW3	192.168.252.2		135315	0	0	3	1031634	500	0	0	0.000000	0.000000	0				0	228429096	0	N	3	N	N
1	37179225	0	BKDOWTS53	STR-PRD	RGSP	2018-09-05 10:58:03.047	2	5.000.000	21	3	20190822	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-05 10:58:03.047	UK8GW3	192.168.252.2		135190	0	0	3	1032905	21	0	0	0.000000	0.000000	0				0	228278698	0	N	3	N	N
1	37228162	0	BKDOWTS53	STR-PRD	RGSP	2018-09-05 13:18:28.551	2	3.920.000	100	1	20180905	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-05 13:18:28.551	UK8GW3	192.168.252.2		135276	0	0	3	1031634	100	0	0	0.000000	0.000000	0				0	228379924	0	N	3	N	N
0	37228168	0	BKDOWTS53	STR-PRD	RGSP	2018-09-05 13:19:30.615	2	3.900.000	400	1	20180905	0	0	0	1	0.000000	1	1	0	16756839	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-05 13:19:30.616	UK8GW3	192.168.252.2		0	0	0	3	1031634	400	400	400	3.900.000	3.900.000	2				0	228380634	0	N	3	N	N
