STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37207334	0	BKDOWTS53	STR-PRD	RGSP	2018-08-30 10:17:29.25	1	1.000000	83	3	20180917	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-04 16:49:43.279	UK8GW3	192.168.252.2		135047	0	0	3	1032905	83	0	0	0.000000	0.000000	4				0	228154494	0	N	3	N	N
0	37222190	0	BKDOWTS53	STR-PRD	RGSP	2018-09-04 12:46:49.179	1	3.520000	1000	1	20180904	0	0	0	1	0.000000	1	1	0	16755109	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 12:46:49.18	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	1000	1000	3.520000	3.520000	2				0	228049046	0	N	3	N	N
1	37223667	0	BKDOWTS53	STR-PRD	RGSP	2018-09-04 17:42:52.079	1	1.240000	23	3	20180919	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 17:42:52.079	UK8GW3	192.168.252.2		135087	0	0	3	1032905	23	0	0	0.000000	0.000000	0				0	228191527	0	N	3	N	N
1	37223667	0	BKDOWTS53	STR-PRD	RGSP	2018-09-04 17:42:45.255	1	1.230000	23	3	20180919	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 17:42:45.255	UK8GW3	192.168.252.2		135086	0	0	3	1032905	23	0	0	0.000000	0.000000	0				0	228191485	0	N	3	N	N
1	37223667	0	BKDOWTS53	STR-PRD	RGSP	2018-09-04 17:42:16.397	1	1.200000	23	3	20180919	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:42:16.397	UK8GW3	192.168.252.2		135084	0	0	3	1032905	23	0	0	0.000000	0.000000	0				0	228191098	0	N	3	N	N
0	37219580	0	BRD	SHARE	REGS	2018-09-03 16:12:41.548	1	14.200000	2230	2	0	0	0	0	1	0.000000	1	1	0	16755128	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 12:50:16.754	UK8GW3	192.168.252.2		0	0	0	3	1032480	2230	2230	2230	14.200000	14.200000	2				0	228050685	-42	N	-42	N	N
0	37219652	0	BRD	SHARE	REGS	2018-09-03 16:33:59.598	1	13.980000	200	1	20180903	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-04 00:00:13.233	system	system		0	0	0	3	1002117	200	0	0	0.000000	0.000000	12			72/out of term	0	227963787	0	N	3	N	N
1	37220423	0	BRD	SHARE	REGS	2018-09-04 09:36:35.166	2	14.420000	100	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 09:36:35.166	UK8GW3	192.168.252.2		134921	0	0	3	1002117	100	0	0	0.000000	0.000000	0				0	227966235	0	N	3	N	N
0	37219973	0	BRD	SHARE	REGS	2018-09-03 17:34:12.246	2	14.420000	100	1	20180903	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-04 00:00:13.241	system	system		0	0	0	3	1002117	100	0	0	0.000000	0.000000	12			72/out of term	0	227963802	0	N	3	N	N
1	37222539	0	BRD	SHARE	REGS	2018-09-04 13:48:08.527	1	13.940000	200	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 13:48:08.527	UK8GW3	192.168.252.2		134996	0	0	3	1002117	200	0	0	0.000000	0.000000	0				0	228074284	0	N	3	N	N
1	37222544	0	BRD	SHARE	REGS	2018-09-04 13:50:19.625	2	14.300000	100	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 13:50:19.625	UK8GW3	192.168.252.2		134999	0	0	3	1002117	100	0	0	0.000000	0.000000	0				0	228074873	0	N	3	N	N
1	37223711	0	BVB	SHARE	REGS	2018-09-04 17:48:52.658	1	25.000000	100	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:48:52.658	UK8TRAMAR	10.50.23.105		0	0	0	3	169	100	0	0	0.000000	0.000000	0				0	228196494	0	N	-42	N	N
0	37223716	0	BVB	SHARE	REGS	2018-09-04 17:49:39.436	1	25.000000	150	1	20180904	0	0	0	1	0.000000	1	1	0	16755985	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 17:49:39.436	UK8GW3	192.168.252.2		0	0	0	3	1028134	150	150	150	25.000000	25.000000	2				0	228196971	-42	N	-42	N	N
1	37223716	0	BVB	SHARE	REGS	2018-09-04 17:49:39.436	1	25.000000	150	1	20180904	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 17:49:39.436	UK8GW3	192.168.252.2		135090	0	0	3	1028134	150	0	0	0.000000	0.000000	0				0	228196970	-42	N	-42	N	N
0	37223711	0	BVB	SHARE	REGS	2018-09-04 17:48:52.658	1	25.000000	100	1	20180904	0	0	0	1	0.000000	1	1	0	16755982	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 17:48:52.659	UK8TRAMAR	10.50.23.105		0	0	0	3	169	100	100	100	25.000000	25.000000	2				0	228196495	0	N	-42	N	N
1	37221258	0	CEON	SHARE	REGS	2018-09-04 10:18:12.592	2	0.302000	5000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 10:18:12.593	UK8GW3	192.168.252.2		134935	0	0	3	1012931	5000	0	0	0.000000	0.000000	0				0	227982940	0	N	3	N	N
1	37221258	0	CEON	SHARE	REGS	2018-09-04 13:24:57.016	2	0.306000	4950	2	0	0	0	0	1	0.000000	1	1	0	16754945	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 13:24:57.016	UK8GW3	192.168.252.2		134987	0	0	3	1012931	5000	50	0	0.302000	0.000000	1				0	228063076	0	N	3	N	N
1	37221258	0	CEON	SHARE	REGS	2018-09-04 10:18:12.592	2	0.302000	4950	2	0	0	0	0	1	0.000000	1	1	0	16754945	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-04 11:42:46.381	UK8GW3	192.168.252.2		0	0	0	3	1012931	5000	50	50	0.302000	0.302000	1				0	228019081	0	N	3	N	N
1	37222868	0	CMP	SHARE	REGS	2018-09-04 18:00:49.235	2	0.926000	19000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-04 18:00:49.235	UK8GW3	192.168.252.2		135102	0	0	3	1027170	19000	0	0	0.000000	0.000000	0				0	228206558	0	N	3	N	N
1	37222868	0	CMP	SHARE	REGS	2018-09-04 14:51:34.849	2	0.930000	19000	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-04 14:51:34.849	UK8GW3	192.168.252.2		135023	0	0	3	1027170	19000	0	0	0.000000	0.000000	0				0	228102155	0	N	3	N	N
